"referencia";"cboocupacao2002";"cnae20subclasse";"nome_cbo_ocupacao";"nome_cbo_grandegrupo";"nome_cnae_subclasse";"setor_ibge";"vinculos";"eixo"
"2021";"123305";"4637106";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio atacadista de sorvetes";"3 - Comércio";"1";"Geral"
"2021";"123305";"4644301";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio atacadista de medicamentos e drogas de uso humano";"3 - Comércio";"4";"Geral"
"2021";"123305";"4651601";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio atacadista de equipamentos de informática";"3 - Comércio";"1";"Geral"
"2021";"123305";"4742300";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio varejista de material elétrico";"3 - Comércio";"1";"Geral"
"2021";"123305";"4744001";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio varejista de ferragens e ferramentas";"3 - Comércio";"1";"Geral"
"2021";"123305";"4744005";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio varejista de materiais de construção não especificados anteriormente";"3 - Comércio";"2";"Geral"
"2021";"123305";"4772500";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal";"3 - Comércio";"1";"Geral"
"2021";"123305";"5611203";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Lanchonetes, casas de chá, de sucos e similares";"4 - Serviços";"1";"Geral"
"2021";"123305";"6120501";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Telefonia móvel celular";"4 - Serviços";"5";"Geral"
"2021";"123305";"6190699";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Outras atividades de telecomunicações não especificadas anteriormente";"4 - Serviços";"1";"Geral"
"2021";"123305";"6201500";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Desenvolvimento de programas de computador sob encomenda";"4 - Serviços";"2";"Geral"
"2021";"123305";"6202300";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Desenvolvimento e licenciamento de programas de computador customizáveis";"4 - Serviços";"1";"Geral"
"2021";"123305";"6203100";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Desenvolvimento e licenciamento de programas de computador não-customizáveis";"4 - Serviços";"1";"Geral"
"2021";"123305";"6209100";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Suporte técnico, manutenção e outros serviços em tecnologia da informação";"4 - Serviços";"1";"Geral"
"2021";"123305";"6311900";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet";"4 - Serviços";"1";"Geral"
"2021";"123305";"6319400";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Portais, provedores de conteúdo e outros serviços de informação na internet";"4 - Serviços";"1";"Geral"
"2021";"123305";"6424701";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Bancos cooperativos";"4 - Serviços";"1";"Geral"
"2021";"123305";"6436100";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Sociedades de crédito, financiamento e investimento - financeiras";"4 - Serviços";"1";"Geral"
"2021";"123305";"6463800";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Outras sociedades de participação, exceto holdings";"4 - Serviços";"1";"Geral"
"2021";"123305";"6511101";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Seguros de vida";"4 - Serviços";"2";"Geral"
"2021";"123305";"6512000";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Seguros não-vida";"4 - Serviços";"1";"Geral"
"2021";"123305";"6541300";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Previdência complementar fechada";"4 - Serviços";"2";"Geral"
"2021";"123305";"6613400";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Administração de cartões de crédito";"4 - Serviços";"1";"Geral"
"2021";"123305";"6622300";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Corretores e agentes de seguros, de planos de previdência complementar e de saúde";"4 - Serviços";"3";"Geral"
"2021";"123305";"6629100";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente";"4 - Serviços";"2";"Geral"
"2021";"123305";"7020400";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica";"4 - Serviços";"2";"Geral"
"2021";"123305";"7112000";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Serviços de engenharia";"4 - Serviços";"1";"Geral"
"2021";"123305";"7490104";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários";"4 - Serviços";"1";"Geral"
"2021";"123305";"7911200";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Agências de viagens";"4 - Serviços";"1";"Geral"
"2021";"123305";"8011101";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de vigilância e segurança privada";"4 - Serviços";"1";"Geral"
"2021";"123305";"8020000";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de monitoramento de sistemas de segurança";"4 - Serviços";"1";"Geral"
"2021";"123305";"8121400";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Limpeza em prédios e em domicílios";"4 - Serviços";"1";"Geral"
"2021";"123305";"8211300";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Serviços combinados de escritório e apoio administrativo";"4 - Serviços";"2";"Geral"
"2021";"123305";"8220200";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de teleatendimento";"4 - Serviços";"24";"Geral"
"2021";"123305";"8299799";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"4 - Serviços";"1";"Geral"
"2021";"123305";"8422100";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Defesa";"4 - Serviços";"1";"Geral"
"2021";"123305";"8513900";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Ensino fundamental";"4 - Serviços";"1";"Geral"
"2021";"123305";"8599601";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Formação de condutores";"4 - Serviços";"2";"Geral"
"2021";"123305";"8610101";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências";"4 - Serviços";"2";"Geral"
"2021";"123305";"8630502";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividade médica ambulatorial com recursos para realização de exames complementares";"4 - Serviços";"1";"Geral"
"2021";"123305";"9430800";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"2";"Geral"
"2021";"123405";"4673700";"Diretor de suprimentos";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio atacadista de material elétrico";"3 - Comércio";"1";"Geral"
"2021";"123405";"8599699";"Diretor de suprimentos";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Outras atividades de ensino não especificadas anteriormente";"4 - Serviços";"2";"Geral"
"2021";"123405";"8610102";"Diretor de suprimentos";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências";"4 - Serviços";"2";"Geral"
"2021";"123405";"8650001";"Diretor de suprimentos";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de enfermagem";"4 - Serviços";"1";"Geral"
"2021";"131105";"4761001";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio varejista de livros";"3 - Comércio";"1";"Geral"
"2021";"131105";"8411600";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Administração pública em geral";"4 - Serviços";"8";"Geral"
"2021";"131105";"8531700";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Educação superior - graduação";"4 - Serviços";"1";"Geral"
"2021";"131105";"8599699";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Outras atividades de ensino não especificadas anteriormente";"4 - Serviços";"2";"Geral"
"2021";"131105";"8730199";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente";"4 - Serviços";"1";"Geral"
"2021";"131105";"8800600";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Serviços de assistência social sem alojamento";"4 - Serviços";"3";"Geral"
"2021";"131105";"9411100";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de organizações associativas patronais e empresariais";"4 - Serviços";"4";"Geral"
"2021";"131105";"9412000";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de organizações associativas profissionais";"4 - Serviços";"1";"Geral"
"2021";"131105";"9420100";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de organizações sindicais";"4 - Serviços";"1";"Geral"
"2021";"131105";"9430800";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"7";"Geral"
"2021";"131105";"9491000";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de organizações religiosas";"4 - Serviços";"2";"Geral"
"2021";"131105";"9493600";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de organizações associativas ligadas à cultura e à arte";"4 - Serviços";"1";"Geral"
"2021";"131105";"9499500";"Diretor de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades associativas não especificadas anteriormente";"4 - Serviços";"1";"Geral"
"2021";"131110";"8513900";"Diretor de serviços sociais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Ensino fundamental";"4 - Serviços";"1";"Geral"
"2021";"131110";"9430800";"Diretor de serviços sociais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"7";"Geral"
"2021";"131110";"9499500";"Diretor de serviços sociais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades associativas não especificadas anteriormente";"4 - Serviços";"1";"Geral"
"2021";"131115";"4642702";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho";"3 - Comércio";"1";"Geral"
"2021";"131115";"4729699";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente";"3 - Comércio";"2";"Geral"
"2021";"131115";"7020400";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica";"4 - Serviços";"5";"Geral"
"2021";"131115";"7210000";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"4 - Serviços";"4";"Geral"
"2021";"131115";"7311400";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Agências de publicidade";"4 - Serviços";"1";"Geral"
"2021";"131115";"7911200";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Agências de viagens";"4 - Serviços";"1";"Geral"
"2021";"131115";"7990200";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Serviços de reservas e outros serviços de turismo não especificados anteriormente";"4 - Serviços";"1";"Geral"
"2021";"131115";"8112500";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Condomínios prediais";"4 - Serviços";"2";"Geral"
"2021";"131115";"8230001";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Serviços de organização de feiras, congressos, exposições e festas";"4 - Serviços";"6";"Geral"
"2021";"131115";"8411600";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Administração pública em geral";"4 - Serviços";"1";"Geral"
"2021";"131115";"8513900";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Ensino fundamental";"4 - Serviços";"1";"Geral"
"2021";"131115";"8531700";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Educação superior - graduação";"4 - Serviços";"1";"Geral"
"2021";"131115";"8532500";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Educação superior - graduação e pós-graduação";"4 - Serviços";"1";"Geral"
"2021";"131115";"8550302";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de apoio à educação, exceto caixas escolares";"4 - Serviços";"3";"Geral"
"2021";"131115";"8593700";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Ensino de idiomas";"4 - Serviços";"1";"Geral"
"2021";"131115";"8599604";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Treinamento em desenvolvimento profissional e gerencial";"4 - Serviços";"2";"Geral"
"2021";"131115";"8599699";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Outras atividades de ensino não especificadas anteriormente";"4 - Serviços";"1";"Geral"
"2021";"131115";"8650004";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de fisioterapia";"4 - Serviços";"1";"Geral"
"2021";"131115";"8660700";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de apoio à gestão de saúde";"4 - Serviços";"1";"Geral"
"2021";"131115";"8800600";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Serviços de assistência social sem alojamento";"4 - Serviços";"2";"Geral"
"2021";"131115";"9101500";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Atividades de bibliotecas e arquivos";"4 - Serviços";"1";"Geral"
"2021";"131115";"9312300";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Clubes sociais, esportivos e similares";"4 - Serviços";"2";"Geral"
"2021";"131115";"9319101";"Gerente de serviços culturais";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Produção e promoção de eventos esportivos";"4 - Serviços";"1";"Geral"
