"cboocupacao2002";"nome_cbo_ocupacao";"cbo_grande_grupo";"cbo_subgrupo_principal";"cbo_subgrupo";"cbo_familia";"nome_cbo_grandegrupo";"nome_cbo_subgrupo_principal";"nome_cbo_subgrupo";"nome_cbo_familia"
"21110";"Sargento da policia militar";"0";"2";"21";"211";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"PRAÇAS DE POLÍCIA MILITAR";"Subtenentes e sargentos da policia militar"
"21205";"Cabo da polícia militar";"0";"2";"21";"212";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"PRAÇAS DE POLÍCIA MILITAR";"Cabos e soldados da polícia militar"
"21210";"Soldado da polícia militar";"0";"2";"21";"212";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"PRAÇAS DE POLÍCIA MILITAR";"Cabos e soldados da polícia militar"
"30105";"Coronel bombeiro militar";"0";"3";"30";"301";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"OFICIAIS DE BOMBEIRO MILITAR";"Oficiais superiores do corpo de bombeiros militar"
"30110";"Major bombeiro militar";"0";"3";"30";"301";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"OFICIAIS DE BOMBEIRO MILITAR";"Oficiais superiores do corpo de bombeiros militar"
"30115";"Tenente-coronel bombeiro militar";"0";"3";"30";"301";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"OFICIAIS DE BOMBEIRO MILITAR";"Oficiais superiores do corpo de bombeiros militar"
"30205";"Capitão bombeiro militar";"0";"3";"30";"302";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"OFICIAIS DE BOMBEIRO MILITAR";"Oficiais intermediários do corpo de bombeiros militar"
"30305";"Tenente do corpo de bombeiros militar";"0";"3";"30";"303";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"OFICIAIS DE BOMBEIRO MILITAR";"Tenentes do corpo de bombeiros militar"
"31105";"Subtenente bombeiro militar";"0";"3";"31";"311";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"PRAÇAS DE BOMBEIRO MILITAR";"Subtenentes e sargentos do corpo de bombeiros militar"
"31110";"Sargento bombeiro militar";"0";"3";"31";"311";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"PRAÇAS DE BOMBEIRO MILITAR";"Subtenentes e sargentos do corpo de bombeiros militar"
"31205";"Cabo bombeiro militar";"0";"3";"31";"312";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"PRAÇAS DE BOMBEIRO MILITAR";"Cabos e soldados do corpo de bombeiros militar"
"31210";"Soldado bombeiro militar";"0";"3";"31";"312";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"BOMBEIROS MILITARES";"PRAÇAS DE BOMBEIRO MILITAR";"Cabos e soldados do corpo de bombeiros militar"
"111105";"Senador";"1";"11";"111";"1111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"111110";"Deputado federal";"1";"11";"111";"1111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"111115";"Deputado estadual e distrital";"1";"11";"111";"1111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"111120";"Vereador";"1";"11";"111";"1111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"111205";"Presidente da república";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111210";"Vice-presidente da república";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111215";"Ministro de estado";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111220";"Secretário - executivo";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111225";"Membro superior do poder executivo";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111230";"Governador de estado";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111235";"Governador do distrito federal";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111240";"Vice-governador de estado";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111245";"Vice-governador do distrito federal";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111250";"Prefeito";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111255";"Vice-prefeito";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111305";"Ministro do supremo tribunal federal";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111310";"Ministro do superior tribunal de justiça";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111315";"Ministro do  superior tribunal militar";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111320";"Ministro do  superior tribunal do trabalho";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111325";"Juiz de direito";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111330";"Juiz federal";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111335";"Juiz auditor federal - justiça militar";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111340";"Juiz auditor estadual - justiça militar";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111345";"Juiz do trabalho";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111405";"Dirigente do serviço público federal";"1";"11";"111";"1114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes do serviço público"
"111410";"Dirigente do serviço público estadual e distrital";"1";"11";"111";"1114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes do serviço público"
"111415";"Dirigente do serviço público municipal";"1";"11";"111";"1114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes do serviço público"
"111505";"Especialista de políticas públicas e gestão governamental - eppgg";"1";"11";"111";"1115";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Gestores públicos"
"111510";"Analista de planejamento e orçamento - apo";"1";"11";"111";"1115";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Gestores públicos"
"113005";"Cacique";"1";"11";"113";"1130";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"CHEFES DE PEQUENAS POPULAÇÕES";"Dirigentes de povos indígenas, de quilombolas e caiçaras"
"113010";"Líder de comunidade caiçara";"1";"11";"113";"1130";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"CHEFES DE PEQUENAS POPULAÇÕES";"Dirigentes de povos indígenas, de quilombolas e caiçaras"
"113015";"Membro de liderança quilombola";"1";"11";"113";"1130";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"CHEFES DE PEQUENAS POPULAÇÕES";"Dirigentes de povos indígenas, de quilombolas e caiçaras"
"114105";"Dirigente de partido político";"1";"11";"114";"1141";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes de partidos políticos"
"114205";"Dirigentes de entidades de trabalhadores";"1";"11";"114";"1142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos"
"114210";"Dirigentes de entidades patronais";"1";"11";"114";"1142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos"
"114305";"Dirigente e administrador de organização religiosa";"1";"11";"114";"1143";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de entidades religiosas"
"114405";"Dirigente e administrador de organização da sociedade civil sem fins lucrativos";"1";"11";"114";"1144";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos"
"121005";"Diretor de planejamento estratégico";"1";"12";"121";"1210";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES GERAIS";"Diretores gerais"
"121010";"Diretor geral de empresa e organizações (exceto de interesse público)";"1";"12";"121";"1210";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES GERAIS";"Diretores gerais"
"122105";"Diretor de produção e operações em empresa agropecuária";"1";"12";"122";"1221";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal"
"122110";"Diretor de produção e operações em empresa aqüícola";"1";"12";"122";"1221";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal"
"122115";"Diretor de produção e operações em empresa florestal";"1";"12";"122";"1221";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal"
"122120";"Diretor de produção e operações em empresa pesqueira";"1";"12";"122";"1221";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal"
"122205";"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades";"1";"12";"122";"1222";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de produção e operações em empresa da indústria extrativa, transformação e de serviços de utilidade pública"
"122305";"Diretor de operações de obras pública e civil";"1";"12";"122";"1223";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de operações de obras em empresa de construção"
"122405";"Diretor de operações comerciais (comércio atacadista e varejista)";"1";"12";"122";"1224";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de operações em empresa do comércio"
