"cboocupacao2002";"cnae_classe";"cnae_divisao";"cnae_grupo";"nome_cbo_ocupacao";"nome_cnae_classe";"setor_ibge";"vinculos"
"131115";"72100";"72";"721";"Gerente de serviços culturais";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"4 - Serviços";"4"
"131115";"73114";"73";"731";"Gerente de serviços culturais";"Agências de publicidade";"4 - Serviços";"1"
"131115";"79112";"79";"791";"Gerente de serviços culturais";"Agências de viagens";"4 - Serviços";"1"
"131115";"79902";"79";"799";"Gerente de serviços culturais";"Serviços de reservas e outros serviços de turismo não especificados anteriormente";"4 - Serviços";"1"
"131115";"81125";"81";"811";"Gerente de serviços culturais";"Condomínios prediais";"4 - Serviços";"2"
"131115";"82300";"82";"823";"Gerente de serviços culturais";"Atividades de organização de eventos, exceto culturais e esportivos";"4 - Serviços";"6"
"131115";"84116";"84";"841";"Gerente de serviços culturais";"Administração pública em geral";"4 - Serviços";"1"
"131115";"85139";"85";"851";"Gerente de serviços culturais";"Ensino fundamental";"4 - Serviços";"1"
"131115";"85317";"85";"853";"Gerente de serviços culturais";"Educação superior - graduação";"4 - Serviços";"1"
"131115";"85325";"85";"853";"Gerente de serviços culturais";"Educação superior - graduação e pós-graduação";"4 - Serviços";"1"
"131115";"85503";"85";"855";"Gerente de serviços culturais";"Atividades de apoio à educação";"4 - Serviços";"3"
"131115";"85937";"85";"859";"Gerente de serviços culturais";"Ensino de idiomas";"4 - Serviços";"1"
"131115";"85996";"85";"859";"Gerente de serviços culturais";"Atividades de ensino não especificadas anteriormente";"4 - Serviços";"3"
"131115";"86500";"86";"865";"Gerente de serviços culturais";"Atividades de profissionais da área de saúde, exceto médicos e odontólogos";"4 - Serviços";"1"
"131115";"86607";"86";"866";"Gerente de serviços culturais";"Atividades de apoio à gestão de saúde";"4 - Serviços";"1"
"131115";"88006";"88";"880";"Gerente de serviços culturais";"Serviços de assistência social sem alojamento";"4 - Serviços";"2"
"131115";"91015";"91";"910";"Gerente de serviços culturais";"Atividades de bibliotecas e arquivos";"4 - Serviços";"1"
"131115";"93123";"93";"931";"Gerente de serviços culturais";"Clubes sociais, esportivos e similares";"4 - Serviços";"2"
"131115";"93191";"93";"931";"Gerente de serviços culturais";"Atividades esportivas não especificadas anteriormente";"4 - Serviços";"1"
"131115";"94120";"94";"941";"Gerente de serviços culturais";"Atividades de organizações associativas profissionais";"4 - Serviços";"5"
"131115";"94201";"94";"942";"Gerente de serviços culturais";"Atividades de organizações sindicais";"4 - Serviços";"1"
"131115";"94308";"94";"943";"Gerente de serviços culturais";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"15"
"131115";"94910";"94";"949";"Gerente de serviços culturais";"Atividades de organizações religiosas";"4 - Serviços";"1"
"131115";"94936";"94";"949";"Gerente de serviços culturais";"Atividades de organizações associativas ligadas à cultura e à arte";"4 - Serviços";"4"
"131115";"94995";"94";"949";"Gerente de serviços culturais";"Atividades associativas não especificadas anteriormente";"4 - Serviços";"1"
"131115";"99008";"99";"990";"Gerente de serviços culturais";"Organismos internacionais e outras instituições extraterritoriais";"4 - Serviços";"3"
"131120";"62040";"62";"620";"Gerente de serviços sociais";"Consultoria em tecnologia da informação";"4 - Serviços";"1"
"131120";"70204";"70";"702";"Gerente de serviços sociais";"Atividades de consultoria em gestão empresarial";"4 - Serviços";"1"
"131120";"82300";"82";"823";"Gerente de serviços sociais";"Atividades de organização de eventos, exceto culturais e esportivos";"4 - Serviços";"2"
"131120";"85139";"85";"851";"Gerente de serviços sociais";"Ensino fundamental";"4 - Serviços";"1"
"131120";"85996";"85";"859";"Gerente de serviços sociais";"Atividades de ensino não especificadas anteriormente";"4 - Serviços";"2"
"131120";"86101";"86";"861";"Gerente de serviços sociais";"Atividades de atendimento hospitalar";"4 - Serviços";"1"
"131120";"86607";"86";"866";"Gerente de serviços sociais";"Atividades de apoio à gestão de saúde";"4 - Serviços";"1"
"131120";"87301";"87";"873";"Gerente de serviços sociais";"Atividades de assistência social prestadas em residências coletivas e particulares";"4 - Serviços";"1"
"131120";"88006";"88";"880";"Gerente de serviços sociais";"Serviços de assistência social sem alojamento";"4 - Serviços";"19"
"131120";"94201";"94";"942";"Gerente de serviços sociais";"Atividades de organizações sindicais";"4 - Serviços";"2"
"131120";"94308";"94";"943";"Gerente de serviços sociais";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"80"
"131120";"94910";"94";"949";"Gerente de serviços sociais";"Atividades de organizações religiosas";"4 - Serviços";"5"
"131120";"94928";"94";"949";"Gerente de serviços sociais";"Atividades de organizações políticas";"4 - Serviços";"1"
"131120";"94995";"94";"949";"Gerente de serviços sociais";"Atividades associativas não especificadas anteriormente";"4 - Serviços";"5"
"131120";"99008";"99";"990";"Gerente de serviços sociais";"Organismos internacionais e outras instituições extraterritoriais";"4 - Serviços";"3"
"131215";"75001";"75";"750";"Tecnólogo em gestão hospitalar";"Atividades veterinárias";"4 - Serviços";"1"
"131215";"86101";"86";"861";"Tecnólogo em gestão hospitalar";"Atividades de atendimento hospitalar";"4 - Serviços";"4"
"131215";"87115";"87";"871";"Tecnólogo em gestão hospitalar";"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares";"4 - Serviços";"1"
"141115";"10121";"10";"101";"Gerente de produção e operações agropecuárias";"Abate de suínos, aves e outros pequenos animais";"1 - Indústria";"1"
"141115";"45200";"45";"452";"Gerente de produção e operações agropecuárias";"Manutenção e reparação de veículos automotores";"3 - Comércio";"1"
"141115";"46338";"46";"463";"Gerente de produção e operações agropecuárias";"Comércio atacadista de hortifrutigranjeiros";"3 - Comércio";"1"
"141115";"47245";"47";"472";"Gerente de produção e operações agropecuárias";"Comércio varejista de hortifrutigranjeiros";"3 - Comércio";"1"
"141115";"47890";"47";"478";"Gerente de produção e operações agropecuárias";"Comércio varejista de outros produtos novos não especificados anteriormente";"3 - Comércio";"1"
"141115";"93131";"93";"931";"Gerente de produção e operações agropecuárias";"Atividades de condicionamento físico";"4 - Serviços";"1"
"141305";"23206";"23";"232";"Gerente de produção e operações da construção civil e obras públicas";"Fabricação de cimento";"1 - Indústria";"1"
"141305";"23303";"23";"233";"Gerente de produção e operações da construção civil e obras públicas";"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes";"1 - Indústria";"1"
"141305";"38114";"38";"381";"Gerente de produção e operações da construção civil e obras públicas";"Coleta de resíduos não-perigosos";"1 - Indústria";"1"
"141305";"41107";"41";"411";"Gerente de produção e operações da construção civil e obras públicas";"Incorporação de empreendimentos imobiliários";"4 - Serviços";"5"
"141305";"41204";"41";"412";"Gerente de produção e operações da construção civil e obras públicas";"Construção de edifícios";"2 - Construção Civil";"12"
"141305";"42111";"42";"421";"Gerente de produção e operações da construção civil e obras públicas";"Construção de rodovias e ferrovias";"2 - Construção Civil";"6"
"141305";"42219";"42";"422";"Gerente de produção e operações da construção civil e obras públicas";"Obras para geração e distribuição de energia elétrica e para telecomunicações";"2 - Construção Civil";"1"
"141305";"42995";"42";"429";"Gerente de produção e operações da construção civil e obras públicas";"Obras de engenharia civil não especificadas anteriormente";"2 - Construção Civil";"1"
"141305";"43215";"43";"432";"Gerente de produção e operações da construção civil e obras públicas";"Instalações elétricas";"2 - Construção Civil";"2"
"141305";"43223";"43";"432";"Gerente de produção e operações da construção civil e obras públicas";"Instalações hidráulicas, de sistemas de ventilação e refrigeração";"2 - Construção Civil";"1"
"141305";"43304";"43";"433";"Gerente de produção e operações da construção civil e obras públicas";"Obras de acabamento";"2 - Construção Civil";"1"
"141305";"43991";"43";"439";"Gerente de produção e operações da construção civil e obras públicas";"Serviços especializados para construção não especificados anteriormente";"2 - Construção Civil";"1"
"141305";"47423";"47";"474";"Gerente de produção e operações da construção civil e obras públicas";"Comércio varejista de material elétrico";"3 - Comércio";"1"
"141305";"47547";"47";"475";"Gerente de produção e operações da construção civil e obras públicas";"Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"3 - Comércio";"1"
"141305";"49302";"49";"493";"Gerente de produção e operações da construção civil e obras públicas";"Transporte rodoviário de carga";"4 - Serviços";"3"
"141305";"56112";"56";"561";"Gerente de produção e operações da construção civil e obras públicas";"Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"4 - Serviços";"1"
"141305";"64620";"64";"646";"Gerente de produção e operações da construção civil e obras públicas";"Holdings de instituições não-financeiras";"4 - Serviços";"1"
"141305";"71111";"71";"711";"Gerente de produção e operações da construção civil e obras públicas";"Serviços de arquitetura";"4 - Serviços";"4"
"141305";"71120";"71";"711";"Gerente de produção e operações da construção civil e obras públicas";"Serviços de engenharia";"4 - Serviços";"1"
"141305";"78302";"78";"783";"Gerente de produção e operações da construção civil e obras públicas";"Fornecimento e gestão de recursos humanos para terceiros";"4 - Serviços";"1"
"141305";"82300";"82";"823";"Gerente de produção e operações da construção civil e obras públicas";"Atividades de organização de eventos, exceto culturais e esportivos";"4 - Serviços";"1"
"141305";"85139";"85";"851";"Gerente de produção e operações da construção civil e obras públicas";"Ensino fundamental";"4 - Serviços";"1"
"141305";"85317";"85";"853";"Gerente de produção e operações da construção civil e obras públicas";"Educação superior - graduação";"4 - Serviços";"1"
"141305";"85996";"85";"859";"Gerente de produção e operações da construção civil e obras públicas";"Atividades de ensino não especificadas anteriormente";"4 - Serviços";"1"
"141305";"86101";"86";"861";"Gerente de produção e operações da construção civil e obras públicas";"Atividades de atendimento hospitalar";"4 - Serviços";"1"
"141405";"45307";"45";"453";"Comerciante atacadista";"Comércio de peças e acessórios para veículos automotores";"3 - Comércio";"1"
"141405";"46478";"46";"464";"Comerciante atacadista";"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações";"3 - Comércio";"1"
"141405";"46516";"46";"465";"Comerciante atacadista";"Comércio atacadista de computadores, periféricos e suprimentos de informática";"3 - Comércio";"1"
"141405";"46931";"46";"469";"Comerciante atacadista";"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários";"3 - Comércio";"1"
"141405";"47211";"47";"472";"Comerciante atacadista";"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes";"3 - Comércio";"3"
"141405";"47237";"47";"472";"Comerciante atacadista";"Comércio varejista de bebidas";"3 - Comércio";"2"
"141405";"47440";"47";"474";"Comerciante atacadista";"Comércio varejista de ferragens, madeira e materiais de construção";"3 - Comércio";"1"
"141405";"47555";"47";"475";"Comerciante atacadista";"Comércio varejista especializado de tecidos e artigos de cama, mesa e banho";"3 - Comércio";"2"
"141405";"47610";"47";"476";"Comerciante atacadista";"Comércio varejista de livros, jornais, revistas e papelaria";"3 - Comércio";"1"
"141405";"47733";"47";"477";"Comerciante atacadista";"Comércio varejista de artigos médicos e ortopédicos";"3 - Comércio";"1"
"141405";"47814";"47";"478";"Comerciante atacadista";"Comércio varejista de artigos do vestuário e acessórios";"3 - Comércio";"1"
"141405";"47822";"47";"478";"Comerciante atacadista";"Comércio varejista de calçados e artigos de viagem";"3 - Comércio";"1"
"141405";"56112";"56";"561";"Comerciante atacadista";"Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"4 - Serviços";"4"
"141405";"60217";"60";"602";"Comerciante atacadista";"Atividades de televisão aberta";"4 - Serviços";"1"
"141405";"79112";"79";"791";"Comerciante atacadista";"Agências de viagens";"4 - Serviços";"1"
"141405";"82113";"82";"821";"Comerciante atacadista";"Serviços combinados de escritório e apoio administrativo";"4 - Serviços";"4"
"141405";"82199";"82";"821";"Comerciante atacadista";"Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo";"4 - Serviços";"2"
"141405";"95291";"95";"952";"Comerciante atacadista";"Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente";"3 - Comércio";"2"
"141410";"10121";"10";"101";"Comerciante varejista";"Abate de suínos, aves e outros pequenos animais";"1 - Indústria";"1"
"141410";"10201";"10";"102";"Comerciante varejista";"Preservação do pescado e fabricação de produtos do pescado";"1 - Indústria";"3"
"141410";"10538";"10";"105";"Comerciante varejista";"Fabricação de sorvetes e outros gelados comestíveis";"1 - Indústria";"1"
"141410";"10911";"10";"109";"Comerciante varejista";"Fabricação de produtos de panificação";"1 - Indústria";"1"
"141410";"10945";"10";"109";"Comerciante varejista";"Fabricação de massas alimentícias";"1 - Indústria";"1"
"141410";"10961";"10";"109";"Comerciante varejista";"Fabricação de alimentos e pratos prontos";"1 - Indústria";"1"
"141410";"16226";"16";"162";"Comerciante varejista";"Fabricação de estruturas de madeira e de artigos de carpintaria para construção";"1 - Indústria";"1"
"141410";"23303";"23";"233";"Comerciante varejista";"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes";"1 - Indústria";"3"
"141410";"31012";"31";"310";"Comerciante varejista";"Fabricação de móveis com predominância de madeira";"1 - Indústria";"1"
"141410";"41204";"41";"412";"Comerciante varejista";"Construção de edifícios";"2 - Construção Civil";"4"
"141410";"43304";"43";"433";"Comerciante varejista";"Obras de acabamento";"2 - Construção Civil";"5"
"141410";"43991";"43";"439";"Comerciante varejista";"Serviços especializados para construção não especificados anteriormente";"2 - Construção Civil";"1"
"141410";"45111";"45";"451";"Comerciante varejista";"Comércio a varejo e por atacado de veículos automotores";"3 - Comércio";"8"
"141410";"45200";"45";"452";"Comerciante varejista";"Manutenção e reparação de veículos automotores";"3 - Comércio";"2"
"141410";"45307";"45";"453";"Comerciante varejista";"Comércio de peças e acessórios para veículos automotores";"3 - Comércio";"3"
"141410";"45439";"45";"454";"Comerciante varejista";"Manutenção e reparação de motocicletas";"3 - Comércio";"3"
"141410";"46184";"46";"461";"Comerciante varejista";"Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente";"3 - Comércio";"1"
"141410";"46443";"46";"464";"Comerciante varejista";"Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"3 - Comércio";"1"
"141410";"46460";"46";"464";"Comerciante varejista";"Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal";"3 - Comércio";"1"
"141410";"46915";"46";"469";"Comerciante varejista";"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"3 - Comércio";"5"
"141410";"46931";"46";"469";"Comerciante varejista";"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários";"3 - Comércio";"4"
"141410";"47113";"47";"471";"Comerciante varejista";"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"3 - Comércio";"77"
"141410";"47121";"47";"471";"Comerciante varejista";"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns";"3 - Comércio";"25"
"141410";"47211";"47";"472";"Comerciante varejista";"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes";"3 - Comércio";"3"
"141410";"47211";"47";"472";"Comerciante varejista";"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes";"4 - Serviços";"1"
"141410";"47229";"47";"472";"Comerciante varejista";"Comércio varejista de carnes e pescados - açougues e peixarias";"3 - Comércio";"8"
"141410";"47237";"47";"472";"Comerciante varejista";"Comércio varejista de bebidas";"3 - Comércio";"2"
"141410";"47245";"47";"472";"Comerciante varejista";"Comércio varejista de hortifrutigranjeiros";"3 - Comércio";"7"
"141410";"47296";"47";"472";"Comerciante varejista";"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";"3 - Comércio";"8"
"141410";"47318";"47";"473";"Comerciante varejista";"Comércio varejista de combustíveis para veículos automotores";"3 - Comércio";"1"
"141410";"47415";"47";"474";"Comerciante varejista";"Comércio varejista de tintas e materiais para pintura";"3 - Comércio";"2"
"141410";"47423";"47";"474";"Comerciante varejista";"Comércio varejista de material elétrico";"3 - Comércio";"2"
"141410";"47440";"47";"474";"Comerciante varejista";"Comércio varejista de ferragens, madeira e materiais de construção";"3 - Comércio";"12"
"141410";"47512";"47";"475";"Comerciante varejista";"Comércio varejista especializado de equipamentos e suprimentos de informática";"3 - Comércio";"2"
"141410";"47539";"47";"475";"Comerciante varejista";"Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo";"3 - Comércio";"1"
"141410";"47547";"47";"475";"Comerciante varejista";"Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"3 - Comércio";"1"
"141410";"47555";"47";"475";"Comerciante varejista";"Comércio varejista especializado de tecidos e artigos de cama, mesa e banho";"3 - Comércio";"1"
"141410";"47571";"47";"475";"Comerciante varejista";"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação";"3 - Comércio";"1"
"141410";"47598";"47";"475";"Comerciante varejista";"Comércio varejista de artigos de uso doméstico não especificados anteriormente";"3 - Comércio";"2"
"141410";"47610";"47";"476";"Comerciante varejista";"Comércio varejista de livros, jornais, revistas e papelaria";"3 - Comércio";"7"
"141410";"47636";"47";"476";"Comerciante varejista";"Comércio varejista de artigos recreativos e esportivos";"3 - Comércio";"2"
"141410";"47717";"47";"477";"Comerciante varejista";"Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"3 - Comércio";"111"
"141410";"47725";"47";"477";"Comerciante varejista";"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal";"3 - Comércio";"2"
"141410";"47814";"47";"478";"Comerciante varejista";"Comércio varejista de artigos do vestuário e acessórios";"3 - Comércio";"37"
"141410";"47822";"47";"478";"Comerciante varejista";"Comércio varejista de calçados e artigos de viagem";"3 - Comércio";"1"
"141410";"47849";"47";"478";"Comerciante varejista";"Comércio varejista de gás liqüefeito de petróleo (GLP)";"3 - Comércio";"1"
"141410";"47857";"47";"478";"Comerciante varejista";"Comércio varejista de artigos usados";"3 - Comércio";"1"
"141410";"47890";"47";"478";"Comerciante varejista";"Comércio varejista de outros produtos novos não especificados anteriormente";"3 - Comércio";"21"
"141410";"52117";"52";"521";"Comerciante varejista";"Armazenamento";"4 - Serviços";"2"
"141410";"52401";"52";"524";"Comerciante varejista";"Atividades auxiliares dos transportes aéreos";"4 - Serviços";"3"
"141410";"56112";"56";"561";"Comerciante varejista";"Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"4 - Serviços";"123"
"141410";"56201";"56";"562";"Comerciante varejista";"Serviços de catering, bufê e outros serviços de comida preparada";"1 - Indústria";"2"
"141410";"59111";"59";"591";"Comerciante varejista";"Atividades de produção cinematográfica, de vídeos e de programas de televisão";"1 - Indústria";"2"
"141410";"64638";"64";"646";"Comerciante varejista";"Outras sociedades de participação, exceto holdings";"4 - Serviços";"3"
"141410";"68218";"68";"682";"Comerciante varejista";"Intermediação na compra, venda e aluguel de imóveis";"4 - Serviços";"1"
"141410";"69206";"69";"692";"Comerciante varejista";"Atividades de contabilidade, consultoria e auditoria contábil e tributária";"4 - Serviços";"5"
"141410";"73190";"73";"731";"Comerciante varejista";"Atividades de publicidade não especificadas anteriormente";"4 - Serviços";"2"
"141410";"77390";"77";"773";"Comerciante varejista";"Aluguel de máquinas e equipamentos não especificados anteriormente";"4 - Serviços";"2"
"141410";"78108";"78";"781";"Comerciante varejista";"Seleção e agenciamento de mão-de-obra";"4 - Serviços";"1"
"141410";"80200";"80";"802";"Comerciante varejista";"Atividades de monitoramento de sistemas de segurança";"4 - Serviços";"1"
